actual_price,discounted_price,discount_percentage,rating,rating_count
251.99,203.99,0.19,4.1,31822.0
599.99,539.99,0.1,4.3,3075.0
35.99,31.19,0.13,3.9,14266.0
77.99,33.59,0.57,4.1,38879.0
35.88,16.79,0.53,4.1,97175.0
28.8,7.79,0.73,4.4,67260.0
47.88,9.59,0.8,3.8,119.0
1.79,1.79,0.0,4.3,10833.0
25.2,9.59,0.62,4.3,8188.0
63.59,45.59,0.28,3.5,1641.0
22.79,2.39,0.9,4.0,4740.0
395.99,287.99,0.27,3.9,8866.0
479.88,359.88,0.25,4.3,8399.0
23.99,3.37,0.86,2.8,87.0
143.99,95.98,0.33,3.8,125.0
11.99,2.99,0.75,4.5,38.0
7.19,3.59,0.5,4.3,4674.0
22.79,5.99,0.74,4.1,412.0
41.99,10.79,0.74,3.0,681.0
41.99,19.19,0.54,4.0,36384.0
11.99,1.44,0.88,3.9,6491.0
83.99,47.99,0.43,4.1,10229.0
227.99,155.99,0.32,4.1,50772.0
31.19,19.19,0.38,4.3,1801.0
14.39,8.39,0.42,4.0,14404.0
11.99,1.19,0.9,4.4,305.0
119.99,94.98,0.21,4.3,1376.0
95.99,17.99,0.81,4.2,22638.0
14.99,12.66,0.16,3.8,2352.0
7.19,1.8,0.75,4.3,714.0
8.4,2.63,0.69,4.3,20052.0
21.59,5.69,0.74,4.3,1454.0
5.99,1.38,0.77,4.0,7732.0
7.19,2.87,0.6,3.9,2147.0
113.99,89.99,0.21,4.1,313832.0
11.99,3.18,0.73,3.7,465.0
899.99,455.88,0.49,4.2,27790.0
5.99,2.39,0.6,4.1,602.0
4.79,2.15,0.55,4.0,1423.0
47.99,21.59,0.55,4.6,245.0
143.99,101.99,0.29,3.9,276.0
47.99,23.99,0.5,4.0,30254.0
215.99,47.99,0.78,4.3,17161.0
5.99,2.63,0.56,4.4,14.0
16.79,7.19,0.57,4.1,14560.0
35.99,29.99,0.17,4.1,3156.0
5.99,1.07,0.82,4.1,9340.0
143.99,35.99,0.75,4.4,768.0
17.99,3.77,0.79,4.5,28978.0
233.99,167.99,0.28,4.1,18998.0
5.99,1.67,0.72,4.2,4971.0
83.99,31.19,0.63,4.5,1526.0
11.99,4.38,0.63,4.1,363711.0
53.88,17.99,0.67,3.9,136954.0
119.99,23.98,0.8,4.3,27709.0
95.88,21.59,0.77,3.8,17833.0
7.8,3.47,0.56,4.3,253105.0
10.74,7.19,0.33,4.4,61314.0
2.84,2.6,0.08,3.8,7354.0
35.88,15.59,0.57,3.8,180998.0
8.39,3.16,0.62,3.5,690.0
12.0,6.83,0.43,4.4,67262.0
59.99,23.99,0.6,4.1,10689.0
47.88,16.79,0.65,4.1,141841.0
17.99,4.19,0.77,4.3,24791.0
4.79,1.79,0.63,3.5,21764.0
11.99,7.19,0.4,4.1,192587.0
47.88,14.64,0.69,4.1,107151.0
83.88,17.99,0.79,3.9,21797.0
11.99,5.99,0.5,3.9,92995.0
11.99,1.19,0.9,4.1,8751.0
15.59,4.19,0.73,4.0,14283.0
18.0,5.7,0.68,4.2,64273.0
7.79,3.23,0.59,4.3,54315.0
7.19,3.59,0.5,4.1,1597.0
47.99,19.19,0.6,4.0,30254.0
95.99,17.99,0.81,4.2,22638.0
11.99,3.95,0.67,3.9,77027.0
21.59,6.59,0.69,4.3,28829.0
119.99,26.39,0.78,4.2,29478.0
7.8,3.59,0.54,4.5,33176.0
23.94,9.58,0.6,4.0,68664.0
13.19,4.79,0.64,4.2,24269.0
3.78,3.19,0.16,4.5,28030.0
0.6,0.6,0.0,4.3,5792.0
1.98,1.56,0.21,3.9,14778.0
15.48,5.39,0.65,4.1,91770.0
203.99,47.99,0.76,4.3,17162.0
15.48,4.79,0.69,4.2,206.0
29.98,16.79,0.44,4.2,33717.0
4.19,2.39,0.43,4.0,43994.0
11.99,2.39,0.8,3.9,7928.0
71.99,35.98,0.5,4.1,5179.0
59.99,49.18,0.18,4.5,50810.0
23.99,5.99,0.75,3.7,3369.0
5.39,3.59,0.33,3.5,11827.0
8.39,3.95,0.53,4.2,94364.0
11.99,8.39,0.3,3.5,15295.0
47.88,9.59,0.8,4.3,27139.0
65.99,16.79,0.75,3.9,9504.0
4.79,1.85,0.61,4.2,16905.0
16.2,6.23,0.62,4.3,30058.0
95.88,27.59,0.71,4.2,69619.0
23.99,4.79,0.8,4.0,3382.0
47.88,17.99,0.62,4.1,109864.0
15.54,15.54,0.0,4.5,5760.0
65.99,22.67,0.66,4.2,49551.0
17.88,5.46,0.69,4.1,161677.0
11.94,4.79,0.6,3.9,21372.0
47.99,12.71,0.74,4.3,140035.0
12.0,1.79,0.85,3.9,24870.0
9.13,8.6,0.06,4.0,7199.0
11.99,1.19,0.9,4.0,1396.0
3.59,0.47,0.87,3.5,15233.0
30.0,10.67,0.64,4.3,55747.0
59.99,14.39,0.76,3.8,14961.0
15.59,6.83,0.56,4.4,9275.0
107.99,17.99,0.83,3.7,28324.0
2.16,1.79,0.17,4.4,644.0
6.59,4.79,0.27,4.4,18139.0
2.7,2.29,0.15,4.4,7203.0
11.99,1.55,0.87,4.2,491.0
7.19,2.39,0.67,4.5,13568.0
53.99,11.99,0.78,3.8,3390.0
53.99,10.79,0.8,3.8,103052.0
29.99,21.59,0.28,4.1,18678.0
5.99,2.12,0.65,4.1,15189.0
6.6,6.26,0.05,4.4,12179.0
23.99,9.59,0.6,3.8,12958.0
14.39,8.17,0.43,4.2,8258.0
41.88,14.39,0.66,4.1,11716.0
59.99,29.99,0.5,4.4,35024.0
